"","fish_id","bin","LLLL","LLLR","LLRL","LLRR","LRLL","LRLR","LRRL","LRRR","RLLL","RLLR","RLRL","RLRR","RRLL","RRLR","RRRL","RRRR","L","R","total_turns","reps","alts","rel_reps","rel_alts","rel_R","rel_L"
"53","15","5",8,6,10,4,6,13,7,7,6,8,9,10,8,6,7,12,63,67,130,20,22,15.3846153846154,16.9230769230769,51.5384615384615,48.4615384615385
"54","15","6",11,8,9,4,7,10,7,2,7,6,8,5,6,3,2,3,60,41,101,14,18,13.8613861386139,17.8217821782178,40.5940594059406,59.4059405940594
"55","16","1",11,9,8,9,11,19,11,5,9,9,21,7,7,9,5,0,85,68,153,11,40,7.18954248366013,26.1437908496732,44.4444444444444,55.5555555555556
"56","16","2",13,7,9,3,7,20,4,4,7,5,18,5,4,3,4,2,68,50,118,15,38,12.7118644067797,32.2033898305085,42.3728813559322,57.6271186440678
"57","16","3",7,3,3,0,3,4,1,0,3,0,4,1,1,1,1,0,23,12,35,7,8,20,22.8571428571429,34.2857142857143,65.7142857142857
"58","16","4",10,3,2,3,4,2,3,1,4,2,4,1,2,2,1,0,31,16,47,10,6,21.2765957446809,12.7659574468085,34.0425531914894,65.9574468085106
"59","16","5",12,5,8,4,7,4,5,1,6,7,3,2,5,1,1,0,49,25,74,12,7,16.2162162162162,9.45945945945946,33.7837837837838,66.2162162162162
"60","16","6",3,1,5,4,5,18,7,3,1,8,18,6,4,6,3,2,47,50,97,5,36,5.15463917525773,37.1134020618557,51.5463917525773,48.4536082474227
"61","17","1",0,1,0,2,0,0,2,4,1,1,0,4,2,4,3,8,9,26,35,8,0,22.8571428571429,0,74.2857142857143,25.7142857142857
"62","17","2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,5,1,0,20,0,80,20
"63","17","3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"64","17","4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"65","17","5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
